owner,amount_ui,amount_raw,classification
EUsvHFkS19ho4rsJB1fHB3rskzomaVbBNtxC2PzMCgVr,57.22617672,5722617672,REAL_HOLDER
DkwWQtXqHJtCVwfbS5ag9e9THdQ647mpMQ3tCmA7s1gd,56.43175185,5643175185,REAL_HOLDER
ZTiH8AicZ4Xu6K62cFhhGRaWeVmKVwYyz17H8RHAKjy,56.42117227,5642117227,REAL_HOLDER
GymLinbBEsab9soPVzvW2fdTvyd1AHKyQq3mxdoN3D9V,55.32647516,5532647516,REAL_HOLDER
GPY2XJuxmM4R7gFexXJmstqj4e5yQ79Lsezue5Z3uV1D,55.24622585,5524622585,REAL_HOLDER
H37eFA1QwCeviAe3CZ8mPrd2Rume8daDqDtApNhn79h5,54.14536426,5414536426,REAL_HOLDER
42eiZDL1eszuHz3aTsqGKy6zu3XwTtcjiDFghGjF3FFp,51.16295679,5116295679,REAL_HOLDER
7QbNaGciLzQEBfpYLkymLRLRTEbvQ7iDoeyjgT2ZTx3m,49.8314387,4983143870,REAL_HOLDER
Fb82vPNQ83Epx6MjTbcb3QtvWUUcowyoLUvwknBwkZbX,49.21864583,4921864583,REAL_HOLDER
3tqp1DeZwARP5DgbTB12fdMXyddd1xJeXp2jSyhm8ENf,48.86825463,4886825463,REAL_HOLDER
93UDwtzMzzXSXHSS6Rb5W7fw95dRSG3LCnETwvnQG9XM,48.69776228,4869776228,REAL_HOLDER
J4mq1ZDAvRMkzBr5aZYoieEqL5R2YPHkYeSWLN72uNS1,48.19268146,4819268146,REAL_HOLDER
JCaFLc8SYoHVqq3pqSssyxSJrJ4bMCKAsTVf72ZNuBLe,47.03061268,4703061268,REAL_HOLDER
ALkukYWEz8oN5yqULGQB97Zmgkr24vc37b31puvvEMw7,46.2765059,4627650590,REAL_HOLDER
BW32J2wdKDGu4zFtavTHv5aLHL1Ks8GbxEn5ikSDWGBT,45.98133528,4598133528,REAL_HOLDER
HvqB3YcJ9mKtfUEibMnbBuiEgDmaYEV9b7Vfok8z2g5S,44.91347664,4491347664,REAL_HOLDER
HqzGGxGopssycGreUUcCkosURzhNPRmM3dJgSjnrvagD,44.54861015,4454861015,REAL_HOLDER
EVjCaRhiUQoCjf84ZzCWL6KckhSVb8GLYPChD8bVgECZ,44.44628967,4444628967,REAL_HOLDER
CAHSfYgYmsyyGqwaG1qm4wbiZPJYCGJjW5fKBSKAnNP8,44.18475314,4418475314,REAL_HOLDER
tz1DTDmfTvTysBFLeHtCmFZZeUy4xFTLyKW9hvcNd7J,43.66152586,4366152586,REAL_HOLDER
gUSy1XbMWe8uVfd5FSLJAAMMMLmjD9Cw4e6hBd37ndx,43.0187547,4301875470,REAL_HOLDER
DYvq8qyEPb6HvjpnYEjxLjrzo74oRs4xC3462KdKkk7B,42.41667815,4241667815,REAL_HOLDER
4heANnRdLoWPdbEtQkWiuxChgafxFD8CnRRUS1d7AMFQ,42.16247079,4216247079,REAL_HOLDER
BBxGXm6XCVaW7rsFhK6jaGWnirhp9d6gj8wREhMpprCU,42.14374342,4214374342,REAL_HOLDER
Er9P7RjsPVLkzkBY1DLJ6ypV64KFaBER664F1M1Sp3yh,40.57702569,4057702569,REAL_HOLDER
Gc9kFhcMAghvrHkKrzkeMLbrSx4v3wWXv2jLR9mLZMDA,40.44086495,4044086495,REAL_HOLDER
3mCa1HzatjAXPTEmvRBrDxrVA45xgCURZzzQFdjLCBmV,40.25689058,4025689058,REAL_HOLDER
HiKuaYdEjG35ozxjEW4KSB3gubKDKQywiBuRcoY9U3jW,40.14062529,4014062529,REAL_HOLDER
1422WqyKD1ugG4ekqbrjAXXxyMAd1VhXP7t2eaibBppD,40.02130572,4002130572,REAL_HOLDER
8HisrQmEjrJYVMvuaK1mrhPNS2zYZBGYFfWe6GKBrHhK,40.01367678,4001367678,REAL_HOLDER
5GLofSqZ9DjwxBbwgCMixbVAuKVxXmuW5oCevwKzg23V,38.7215979,3872159790,REAL_HOLDER
DSKqiUo59opf8XvbN9FqkFMVE31CaQNjd8hNM7TE1ra9,38.69586385,3869586385,REAL_HOLDER
7odWggSSA9ZCQLR8UwGPh9wg5T3cCoGUFxugcwcvaJtR,37.33098823,3733098823,REAL_HOLDER
HyXzXEttpSHwjw2YFhcGLJatWTfwtH82zvXb5mHXYr5k,36.16860786,3616860786,REAL_HOLDER
2s7B5pXWNEjjbUajkgBx5Y153b7Pztq4Pz2z1248mJbn,35.99186321,3599186321,REAL_HOLDER
8Aaeax9UDSA6pQUhmbcn3vHu4hD91EWU2qX6YwBPXuv4,35.7931122,3579311220,REAL_HOLDER
4kLviN5oXPcp2bxDg8dfSMumgsgWZWsL3ZfiajXjDVH9,35.64506348,3564506348,REAL_HOLDER
NUM6b8DNngXG7DJTXfNMs3z7s8yzxaHXfmwjSLbNMWG,35.41590186,3541590186,REAL_HOLDER
CjUcKu4LXAyajq5fvg9sYyNq4TqAeUoXo8x2g4CyXfgW,35.26023792,3526023792,REAL_HOLDER
3VzBEtLjBx4FmG5Bt6aEzMBJV1HbCxnLEN1nSbjqhU7x,35.010552,3501055200,REAL_HOLDER
4xkXn4qk6DKKof5vQs2L9oje2pTSYVzHVMxK3WYQPJMi,34.74974638,3474974638,REAL_HOLDER
69YAezQXyqvfAfYcgSEtiTCgQe9K7NtomkSZumBcDGLq,33.83582365,3383582365,REAL_HOLDER
C9sEsGBxWmgwj5t37oq8fv6yt5zDqxmstfbWZcFQQyQC,33.68936035,3368936035,REAL_HOLDER
9UrYYMrs74HbfaPgTSuUgf8jGEfa9n7F25Fq6shMkBPP,33.40729692,3340729692,REAL_HOLDER
9p7abUFv31ycgu9kckvnoqMMvBy67dqTDM2m6HP9xokN,32.77827999,3277827999,REAL_HOLDER
BuStJqGeVx9VEnBmhVGkVW3uzwcWJzNFyTU8ueezmum7,32.77497778,3277497778,REAL_HOLDER
Fb9XPU9a1aVbVfQqy45PPf2g27qWKwgRqC7mVsv15nUy,32.61480473,3261480473,REAL_HOLDER
7RkHqvgSekLwEPxprm9MC8dmtonZV2wmsrirpFwFXcGH,32.31608835,3231608835,REAL_HOLDER
8h7VWmguecS7xHwQ74WdPLdDmKYSvVGfFKkQyszCZmTK,32.2356943,3223569430,REAL_HOLDER
ji4AZg4Ybtxydfzxgs5kW1YpG4hg6kayvt9GcV89mo4,32.08107169,3208107169,REAL_HOLDER
2qqhYmms1jYpncE6f6WB8YCqN743S3kFBCrws2MZ432f,32.01975702,3201975702,REAL_HOLDER
JHXhwErWn8KTn5GZroRjRoYXrpuzc6vFXTxiZeX8Qa6,31.99603601,3199603601,REAL_HOLDER
7hTjGQdvppiJ5PZikT6wjkCeeMz8mmsZTGKyLYr7FSnc,31.69328311,3169328311,REAL_HOLDER
GTU4LwC3C47FNeu1KHVhQbnT2pCNiT6gJR11kwQhsT7C,31.67314612,3167314612,REAL_HOLDER
64nhCzVSjVaKYqDerdAQD1FFUT5zBtRnciwgFQayN5xv,31.65296045,3165296045,REAL_HOLDER
7KECo3RAGDw75iQwBZR73Nw63YzLYyZCtnBQboDcguqV,31.3898882,3138988820,REAL_HOLDER
7ekgiv7vmE1ijdyhDoBZer7BwJtsV98sxaPbkYszYLxS,31.36207334,3136207334,REAL_HOLDER
3MoZRHZa1aT3w9dTqxGXmKvePA2UeeHMiEYm8tWtpnrF,31.29975365,3129975365,REAL_HOLDER
7sVMiDNecjUAT1FoJF8PZwoaFaqUJAYohpX3vhfboiYH,31.23503562,3123503562,REAL_HOLDER
2DXnq1Y9v4vcv1Wu5ScRnFFXyrJxtxKD5yrRw3EvbNnG,30.94278749,3094278749,REAL_HOLDER
BVhFweFMdvaMjwnsT3HmYRJ7tABUSV42hhGqVFHUfFGq,30.84364717,3084364717,REAL_HOLDER
BxPb5mYeb6v9Rb6gj6KSPHKVspP2yqnogJKcGNZgB3uw,30.03089337,3003089337,REAL_HOLDER
3vPezKqS4A5QNRnP7E2chqSK1VaEtdaoLPSD5qtTjUJS,30.01639375,3001639375,REAL_HOLDER
AK1nqoCviE7ia1T8SKfhF9rJC6GqXM7UUgHAJEehj6y1,30.01614022,3001614022,REAL_HOLDER
4Y92cvMY2jkNkJZszVLv6fs8GqYEcVZip8auZMGTGotS,29.99226614,2999226614,REAL_HOLDER
26UY4D6pBHgxYdPWuBP3sfyc4jJf6qQjPDxCJPhtUx3H,29.64017334,2964017334,REAL_HOLDER
Dnsj5xhkvxjbsdZaU8a5vSjrmaGLSY9Fm7gCKy36FB2D,29.06439415,2906439415,REAL_HOLDER
Foe1NS1CAzRbrztv2EmKYm8DihdfbBYza9DE1ut3y4Pb,28.60845583,2860845583,REAL_HOLDER
6AK4gy5iRNqQcR3sLWwG9Ltyi263Vg53bM35fMkrS3EN,28.45700935,2845700935,REAL_HOLDER
HWb4zGa4VA1CntjF54HWwMJ8MCBME4AxAbuDTgjvzpQL,28.15756888,2815756888,REAL_HOLDER
83erBG9pLAkfrGRGaEvDM9heywULhoPwpVyDf3hvb3QA,27.9547363,2795473630,REAL_HOLDER
2RCHNwdsKQjrcPSo4YvYfnjPGxjjbR5tvsN5NBGqi7GM,27.9124143,2791241430,REAL_HOLDER
7BCp5XUXtKzZWYCvGR2fzFqoyKiJ7ozN8eCEHscpSMnB,27.84654263,2784654263,REAL_HOLDER
BGCQsSiV24LeH69P12eGh9uMQkgqtt6PrhzF8TFHyW2u,27.19389586,2719389586,REAL_HOLDER
6UTVWb94ihu5NKRGw4R5UGjnpRYtAt6SzBSBFpmpHy4A,27.1742145,2717421450,REAL_HOLDER
EncbDg7Qib8S2xJqp1THGXUNScyF1RjjbHzsgEMydzSV,27.00430513,2700430513,REAL_HOLDER
FE5eyJhKaAjjp3mgonhe8vxKYieZBFzAjXAbMkczEaf7,25.78450991,2578450991,REAL_HOLDER
B5TCHhiFoFofrb28pLpnRzMFLpfdsWpqaDLccmeHYdG2,25.46175179,2546175179,REAL_HOLDER
B3JF3iYEfwEQZZxNnBBBxs3VZy9W8A3ydg7wDqkRc4p3,25.1450256,2514502560,REAL_HOLDER
3mHDmFfCAVTne7HBTMPm7XSDLzR8js11Y3doJp2amUK5,25.06516529,2506516529,REAL_HOLDER
BRpw4pvok7wNFcqerF1XTCJYZrawK5sxRbzWt4ZSZJSN,24.37683339,2437683339,REAL_HOLDER
EPZSWqjzGR2tHEm2swvJ1gJPhkrVjT69n8XAAUM6UeFc,24.17473947,2417473947,REAL_HOLDER
B2oCALqP3ZpHAetkKXU61xfFqtsnAniYhbKvYHPFNVUo,23.82765383,2382765383,REAL_HOLDER
9vk8FLuuWAyQWGTQiXTL4ou5tnCcw665CrEd8LbSUn2N,23.77739448,2377739448,REAL_HOLDER
GyZjazf9LF3uijF8qBWMfU7HwemrLZjZD8ZqSueCng7f,23.37475909,2337475909,REAL_HOLDER
CKvhVz9DSK9Dv8mWHAb88kHANd9kZQr5wSUb2wnfXLcm,23.00710378,2300710378,REAL_HOLDER
BCZLEgknvcyCsJ9ERRN38U4gBTNn4ftU11fEtV3XHnK2,22.71816817,2271816817,REAL_HOLDER
CxtGTDWv7WfWqJUiz5JCe9RVFMLqVd2g6dgzxMTBy9R8,21.61114028,2161114028,REAL_HOLDER
5j8VyHqKc86aqUJbH8GJ6b2ZkegFr3zzb3RDy5yR5aDG,21.47584899,2147584899,REAL_HOLDER
8XT4jS9q6MPWEbcoHVyPxBHuuijwAnaP6yivW5V9c5Lm,20.84013046,2084013046,REAL_HOLDER
Go5otDYLAkXyZN1TjMMst9mvh39J8iZSRvgBWiDwyP3y,20.75961866,2075961866,REAL_HOLDER
DA26EHtkJ49HoKxGemV6pTCeEFei3KB8fhASCaXJr2a2,20.46784226,2046784226,REAL_HOLDER
5EsNqCSKuempNLVhRRBmjM7CahTLTxg9KmXuTVTfDzJP,20.36622649,2036622649,REAL_HOLDER
9cuJCvhhPSwaT66rp8dBe716U3swtSTWv26sxeJAzFme,20.332,2033200000,REAL_HOLDER
6C8QRCJrg6mnTTjkmzSoxmifGCPjSSccYyw3qYxtF6Tm,20.13649332,2013649332,REAL_HOLDER
6XeXfYCD5yjsFtbY967BK83iQFpb4bbadsu6FhXzsqWM,19.85650146,1985650146,REAL_HOLDER
6GoWr3Q6LNarV32xS3CbqmRhqxy4jAH978DGw2wbEyuH,19.80754673,1980754673,REAL_HOLDER
9T6E5V6oSnfcos2sQvAPc6f6TKJ5wM5D1VYjPZh18Vin,19.49784022,1949784022,REAL_HOLDER
4ws9reottNTdTM8LiVuDmmKNv4MU4DwaL6stkouqu57J,19.1240761,1912407610,REAL_HOLDER
4mUX6PHQdZSvbxVx5Wkjqkag6ktxy517WYoKjJrcgMq1,18.8313,1883130000,REAL_HOLDER
2rbMgYvzAb3xDk6vXrzKkY3VwsmyDZsJTkvB3JJYsRzA,18.77760966,1877760966,REAL_HOLDER
65vfhHtcsf4GUeDKYbvkemQjuK9AoWbvZL7T9nxeKCxv,18.63278135,1863278135,REAL_HOLDER
9FHLzjPLSmKApCTnUNzFacSaVqFtPrDW1GGdcDc9GWHY,18.45863583,1845863583,REAL_HOLDER
CJwVUf64B5EpJCuFKZxBEx2fvQaRpMjuf3jGybEiJ3z1,18.44975654,1844975654,REAL_HOLDER
