owner,amount_ui,amount_raw
JCaFLc8SYoHVqq3pqSssyxSJrJ4bMCKAsTVf72ZNuBLe,47.03061268,4703061268
ALkukYWEz8oN5yqULGQB97Zmgkr24vc37b31puvvEMw7,46.2765059,4627650590
BW32J2wdKDGu4zFtavTHv5aLHL1Ks8GbxEn5ikSDWGBT,45.98133528,4598133528
HvqB3YcJ9mKtfUEibMnbBuiEgDmaYEV9b7Vfok8z2g5S,44.91347664,4491347664
HqzGGxGopssycGreUUcCkosURzhNPRmM3dJgSjnrvagD,44.54861015,4454861015
EVjCaRhiUQoCjf84ZzCWL6KckhSVb8GLYPChD8bVgECZ,44.44628967,4444628967
CAHSfYgYmsyyGqwaG1qm4wbiZPJYCGJjW5fKBSKAnNP8,44.18475314,4418475314
tz1DTDmfTvTysBFLeHtCmFZZeUy4xFTLyKW9hvcNd7J,43.66152586,4366152586
gUSy1XbMWe8uVfd5FSLJAAMMMLmjD9Cw4e6hBd37ndx,43.0187547,4301875470
DYvq8qyEPb6HvjpnYEjxLjrzo74oRs4xC3462KdKkk7B,42.41667815,4241667815
4heANnRdLoWPdbEtQkWiuxChgafxFD8CnRRUS1d7AMFQ,42.16247079,4216247079
BBxGXm6XCVaW7rsFhK6jaGWnirhp9d6gj8wREhMpprCU,42.14374342,4214374342
Er9P7RjsPVLkzkBY1DLJ6ypV64KFaBER664F1M1Sp3yh,40.57702569,4057702569
Gc9kFhcMAghvrHkKrzkeMLbrSx4v3wWXv2jLR9mLZMDA,40.44086495,4044086495
3mCa1HzatjAXPTEmvRBrDxrVA45xgCURZzzQFdjLCBmV,40.25689058,4025689058
HiKuaYdEjG35ozxjEW4KSB3gubKDKQywiBuRcoY9U3jW,40.14062529,4014062529
1422WqyKD1ugG4ekqbrjAXXxyMAd1VhXP7t2eaibBppD,40.02130572,4002130572
8HisrQmEjrJYVMvuaK1mrhPNS2zYZBGYFfWe6GKBrHhK,40.01367678,4001367678
5GLofSqZ9DjwxBbwgCMixbVAuKVxXmuW5oCevwKzg23V,38.7215979,3872159790
DSKqiUo59opf8XvbN9FqkFMVE31CaQNjd8hNM7TE1ra9,38.69586385,3869586385
7odWggSSA9ZCQLR8UwGPh9wg5T3cCoGUFxugcwcvaJtR,37.33098823,3733098823
HyXzXEttpSHwjw2YFhcGLJatWTfwtH82zvXb5mHXYr5k,36.16860786,3616860786
2s7B5pXWNEjjbUajkgBx5Y153b7Pztq4Pz2z1248mJbn,35.99186321,3599186321
8Aaeax9UDSA6pQUhmbcn3vHu4hD91EWU2qX6YwBPXuv4,35.7931122,3579311220
4kLviN5oXPcp2bxDg8dfSMumgsgWZWsL3ZfiajXjDVH9,35.64506348,3564506348
NUM6b8DNngXG7DJTXfNMs3z7s8yzxaHXfmwjSLbNMWG,35.41590186,3541590186
CjUcKu4LXAyajq5fvg9sYyNq4TqAeUoXo8x2g4CyXfgW,35.26023792,3526023792
3VzBEtLjBx4FmG5Bt6aEzMBJV1HbCxnLEN1nSbjqhU7x,35.010552,3501055200
4xkXn4qk6DKKof5vQs2L9oje2pTSYVzHVMxK3WYQPJMi,34.74974638,3474974638
69YAezQXyqvfAfYcgSEtiTCgQe9K7NtomkSZumBcDGLq,33.83582365,3383582365
C9sEsGBxWmgwj5t37oq8fv6yt5zDqxmstfbWZcFQQyQC,33.68936035,3368936035
9UrYYMrs74HbfaPgTSuUgf8jGEfa9n7F25Fq6shMkBPP,33.40729692,3340729692
9p7abUFv31ycgu9kckvnoqMMvBy67dqTDM2m6HP9xokN,32.77827999,3277827999
BuStJqGeVx9VEnBmhVGkVW3uzwcWJzNFyTU8ueezmum7,32.77497778,3277497778
Fb9XPU9a1aVbVfQqy45PPf2g27qWKwgRqC7mVsv15nUy,32.61480473,3261480473
7RkHqvgSekLwEPxprm9MC8dmtonZV2wmsrirpFwFXcGH,32.31608835,3231608835
8h7VWmguecS7xHwQ74WdPLdDmKYSvVGfFKkQyszCZmTK,32.2356943,3223569430
ji4AZg4Ybtxydfzxgs5kW1YpG4hg6kayvt9GcV89mo4,32.08107169,3208107169
2qqhYmms1jYpncE6f6WB8YCqN743S3kFBCrws2MZ432f,32.01975702,3201975702
JHXhwErWn8KTn5GZroRjRoYXrpuzc6vFXTxiZeX8Qa6,31.99603601,3199603601
7hTjGQdvppiJ5PZikT6wjkCeeMz8mmsZTGKyLYr7FSnc,31.69328311,3169328311
GTU4LwC3C47FNeu1KHVhQbnT2pCNiT6gJR11kwQhsT7C,31.67314612,3167314612
64nhCzVSjVaKYqDerdAQD1FFUT5zBtRnciwgFQayN5xv,31.65296045,3165296045
7KECo3RAGDw75iQwBZR73Nw63YzLYyZCtnBQboDcguqV,31.3898882,3138988820
7ekgiv7vmE1ijdyhDoBZer7BwJtsV98sxaPbkYszYLxS,31.36207334,3136207334
3MoZRHZa1aT3w9dTqxGXmKvePA2UeeHMiEYm8tWtpnrF,31.29975365,3129975365
7sVMiDNecjUAT1FoJF8PZwoaFaqUJAYohpX3vhfboiYH,31.23503562,3123503562
2DXnq1Y9v4vcv1Wu5ScRnFFXyrJxtxKD5yrRw3EvbNnG,30.94278749,3094278749
BVhFweFMdvaMjwnsT3HmYRJ7tABUSV42hhGqVFHUfFGq,30.84364717,3084364717
BxPb5mYeb6v9Rb6gj6KSPHKVspP2yqnogJKcGNZgB3uw,30.03089337,3003089337
3vPezKqS4A5QNRnP7E2chqSK1VaEtdaoLPSD5qtTjUJS,30.01639375,3001639375
AK1nqoCviE7ia1T8SKfhF9rJC6GqXM7UUgHAJEehj6y1,30.01614022,3001614022
4Y92cvMY2jkNkJZszVLv6fs8GqYEcVZip8auZMGTGotS,29.99226614,2999226614
26UY4D6pBHgxYdPWuBP3sfyc4jJf6qQjPDxCJPhtUx3H,29.64017334,2964017334
Dnsj5xhkvxjbsdZaU8a5vSjrmaGLSY9Fm7gCKy36FB2D,29.06439415,2906439415
Foe1NS1CAzRbrztv2EmKYm8DihdfbBYza9DE1ut3y4Pb,28.60845583,2860845583
6AK4gy5iRNqQcR3sLWwG9Ltyi263Vg53bM35fMkrS3EN,28.45700935,2845700935
HWb4zGa4VA1CntjF54HWwMJ8MCBME4AxAbuDTgjvzpQL,28.15756888,2815756888
83erBG9pLAkfrGRGaEvDM9heywULhoPwpVyDf3hvb3QA,27.9547363,2795473630
2RCHNwdsKQjrcPSo4YvYfnjPGxjjbR5tvsN5NBGqi7GM,27.9124143,2791241430
7BCp5XUXtKzZWYCvGR2fzFqoyKiJ7ozN8eCEHscpSMnB,27.84654263,2784654263
BGCQsSiV24LeH69P12eGh9uMQkgqtt6PrhzF8TFHyW2u,27.19389586,2719389586
6UTVWb94ihu5NKRGw4R5UGjnpRYtAt6SzBSBFpmpHy4A,27.1742145,2717421450
EncbDg7Qib8S2xJqp1THGXUNScyF1RjjbHzsgEMydzSV,27.00430513,2700430513
FE5eyJhKaAjjp3mgonhe8vxKYieZBFzAjXAbMkczEaf7,25.78450991,2578450991
B5TCHhiFoFofrb28pLpnRzMFLpfdsWpqaDLccmeHYdG2,25.46175179,2546175179
B3JF3iYEfwEQZZxNnBBBxs3VZy9W8A3ydg7wDqkRc4p3,25.1450256,2514502560
3mHDmFfCAVTne7HBTMPm7XSDLzR8js11Y3doJp2amUK5,25.06516529,2506516529
BRpw4pvok7wNFcqerF1XTCJYZrawK5sxRbzWt4ZSZJSN,24.37683339,2437683339
EPZSWqjzGR2tHEm2swvJ1gJPhkrVjT69n8XAAUM6UeFc,24.17473947,2417473947
B2oCALqP3ZpHAetkKXU61xfFqtsnAniYhbKvYHPFNVUo,23.82765383,2382765383
9vk8FLuuWAyQWGTQiXTL4ou5tnCcw665CrEd8LbSUn2N,23.77739448,2377739448
GyZjazf9LF3uijF8qBWMfU7HwemrLZjZD8ZqSueCng7f,23.37475909,2337475909
CKvhVz9DSK9Dv8mWHAb88kHANd9kZQr5wSUb2wnfXLcm,23.00710378,2300710378
BCZLEgknvcyCsJ9ERRN38U4gBTNn4ftU11fEtV3XHnK2,22.71816817,2271816817
CxtGTDWv7WfWqJUiz5JCe9RVFMLqVd2g6dgzxMTBy9R8,21.61114028,2161114028
5j8VyHqKc86aqUJbH8GJ6b2ZkegFr3zzb3RDy5yR5aDG,21.47584899,2147584899
8XT4jS9q6MPWEbcoHVyPxBHuuijwAnaP6yivW5V9c5Lm,20.84013046,2084013046
Go5otDYLAkXyZN1TjMMst9mvh39J8iZSRvgBWiDwyP3y,20.75961866,2075961866
DA26EHtkJ49HoKxGemV6pTCeEFei3KB8fhASCaXJr2a2,20.46784226,2046784226
5EsNqCSKuempNLVhRRBmjM7CahTLTxg9KmXuTVTfDzJP,20.36622649,2036622649
9cuJCvhhPSwaT66rp8dBe716U3swtSTWv26sxeJAzFme,20.332,2033200000
6C8QRCJrg6mnTTjkmzSoxmifGCPjSSccYyw3qYxtF6Tm,20.13649332,2013649332
6XeXfYCD5yjsFtbY967BK83iQFpb4bbadsu6FhXzsqWM,19.85650146,1985650146
6GoWr3Q6LNarV32xS3CbqmRhqxy4jAH978DGw2wbEyuH,19.80754673,1980754673
9T6E5V6oSnfcos2sQvAPc6f6TKJ5wM5D1VYjPZh18Vin,19.49784022,1949784022
4ws9reottNTdTM8LiVuDmmKNv4MU4DwaL6stkouqu57J,19.1240761,1912407610
4mUX6PHQdZSvbxVx5Wkjqkag6ktxy517WYoKjJrcgMq1,18.8313,1883130000
2rbMgYvzAb3xDk6vXrzKkY3VwsmyDZsJTkvB3JJYsRzA,18.77760966,1877760966
65vfhHtcsf4GUeDKYbvkemQjuK9AoWbvZL7T9nxeKCxv,18.63278135,1863278135
9FHLzjPLSmKApCTnUNzFacSaVqFtPrDW1GGdcDc9GWHY,18.45863583,1845863583
CJwVUf64B5EpJCuFKZxBEx2fvQaRpMjuf3jGybEiJ3z1,18.44975654,1844975654
2TLtmjRQqv9jLuaaGNhNYeaqFWv1s1jS8c3PE2VvQMx9,18.43791772,1843791772
Anms3Yo154DRaFi4JsLXNyPSu4M2FEQCirLxU86QowbF,18.25393011,1825393011
EnHUT7yvWGvAb6Zq4GncBAwSqCsHw6HHUaBvJjn1zETw,18.1120965,1811209650
45VphUa3NuQWmK3iL2FYQWme5DjpuBDVuv2zwMjCoPgk,17.96394819,1796394819
CsHaDVqeUi1mtsHPxVgGBv1RDLY33vSAUHXtHdrVb4ev,17.86080453,1786080453
7uS3LxEDbAvDDUcfmqmm49ZTKjNuM6upwJK13Mxwx8T3,17.77469327,1777469327
3ZTCbCoup3c1rRTUHQyZHoQ8nZXW6UmWrHPdfGkHM15A,17.69314804,1769314804
Fq9nNqmcjTMQzWWQ16w6Ez8jZxF474nrtaxudnwwXVnt,17.53449288,1753449288
HPA4Dq3TxyaTT3PVnzGnUA5diLZ2C8ai3bLshUCRancA,17.47905583,1747905583
Hs5rpNo97yjtyL39F1D6sZinZBG5M5YtCzNzrn1TDBxy,17.37058151,1737058151
CMcrmVVzWME1SKKdJeSqKgTDdg5KD5JhhRY4Xq3PLeT3,17.36136721,1736136721
HkTffWSA7asa8MPmbGX9Xa2jvfLUUhmokRiM4bzhUa3K,17.21584154,1721584154
65H5dtLbHV7UyZ9BjNFivAyzgy35MTmfra5YALXV1VfE,17.1,1710000000
Esg1MvLp3YJqYzC1co7nU3BJCgMpdhkNYHdgmidMUGdz,17,1700000000
EHD2qZ38UrZzQi3MEMxE8QtXTnvPWRXp5fx4inSe6obn,16.70407177,1670407177
2sH3iiZ9WZXEDxBc3prHg15JQDSNk4fasSSAUaRkGWjb,16.64470484,1664470484
Ajapw9iKetvtWd2WwRzTBG7QSYbLJc69RzSQP8Tp1Byo,16.45635433,1645635433
7Q3pS5M4Zo3MqSTu4rZ9TteZBTcyn731v9vb3sM5zR6b,16.38302106,1638302106
HTTpHqbHA3FaAg8Skbx7mhaWWk7QeeoXa9TvzmmMi8yM,16.35135056,1635135056
LTx45tA1AzWtSa3nxvPur6sCmGaA4tFXhQB6ZGSUWAQ,16.31978621,1631978621
5tw9ur3eSmKhEScRmsuKzSmXwjA6TCQkV1aDjgdWrAXL,16.28848266,1628848266
5DKuCpR4kGciXsdhgkZqGf4DHnjjUi1RxpVGcnh3R3sC,16.27994626,1627994626
2ZtNdafBFX7qypQvTjvrP3dEfjTPDmy7HjQ5BqiH72hR,16.22870339,1622870339
4EbRCwPuA1gyXSj5mmy4CA8gVdfoAAUhfpMMDSf5hY9w,16.17739368,1617739368
HnYEttvvRz3yCB1KJcMpH4x5fQwXYhFnrMDDiwZdfs7H,16.15546527,1615546527
